"Purchase","ShareLink","Deal01","Deal02","Deal03","Deal04","PQ1","PQ2","PQ3","PV1","PV2","PV3","PC1","PC2","PC3","PC4","FNE1","FNE2","FNE3","FNE4","Spont01","Spont02","Spont03","Spont04","Spont05","Risk01","Risk02","Risk03","Risk04","Risk05","Ratio01","Ratio02","Ratio03","Ratio04","Intuit01","Intuit02","Intuit03","Intuit04","Intuit05","Depend01","Depend02","Depend03","Depend04","Depend05","dGender","YrBirth","IBA","SatFac","HrPWork","HrVWork","HrClass","HrStud","cLiving","cLocate","dPreMas","dSport","dFraternity","dAssoc","dAbroad"
30,1,2,2,3,3,2,2,2,2,2,2,7,6,5,5,3,7,5,6,3,6,3,2,2,4,5,3,3,2,3,4,2,3,4,4,2,3,3,5,4,3,3,3,1,1997,1,51,2,0,15,5,1,1,2,1,1,1,2
12,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,12,1,2,1,2,2,3,2,6,4,6,3,5,4,4,4,5,4,4,4,5,2,4,2,5,6,3,5,2,3,2,3,3,3,5,2,4,2,5,2,2,3,4,1,1998,1,72,15,1,6,21,3,3,2,1,2,2,2
90,0,1,2,3,2,3,2,3,2,2,4,5,5,5,5,5,3,6,2,2,3,3,2,3,4,6,2,5,2,5,2,4,3,3,3,2,4,2,5,5,3,5,3,1,1997,1,70,8,2.5,12,20,3,4,2,1,2,2,2
31,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,19,1,1,3,1,3,5,5,1,1,2,2,1,2,1,1,6,4,6,3,2,5,5,5,3,6,5,1,2,2,5,5,2,2,3,4,3,3,2,1,1,2,3,2,1998,2,70,8,4,2,12,1,3,2,2,1,2,2
19,3,2,2,4,3,3,3,3,4,4,6,2,2,2,2,4,4,4,4,6,6,6,6,3,6,6,4,6,2,5,2,3,6,2,6,2,6,3,4,6,6,3,6,1,1997,1,73,0,0,8,7,1,1,2,2,1,2,1
45,30,1,2,4,2,6,6,4,2,6,5,5,6,4,5,3,5,5,6,5,3,4,5,2,3,7,3,3,3,2,3,3,2,2,3,2,2,3,6,3,3,3,3,2,1997,2,87,10,5,10,18,2,1,2,1,2,1,1
30,10,2,1,4,1,6,5,5,3,3,3,7,5,6,5,2,5,3,6,6,6,5,6,2,2,3,3,3,6,1,2,2,2,2,3,2,6,3,3,2,2,3,2,1,1996,1,80,9,0,4,15,3,2,2,2,2,2,2
65,1,1,2,2,3,4,3,5,4,2,2,2,2,2,2,6,2,6,2,2,2,2,2,2,6,6,6,7,2,6,4,6,5,2,2,2,3,2,3,4,4,3,5,1,1996,1,69,10,0,10,10,2,1,2,1,1,2,2
