game_id,mean_user,vol_user,mean_critic,vol_critic,ESRB_rating,genre,weekend_release,major_studio,multiplayers,vol_mods
4236,59,25,63,10,5,2,0,0,1,0
1121,84,5,68,5,5,2,1,0,0,0
1138,38,10,32,4,5,2,0,0,0,0
207,73,6,49,5,5,1,0,0,1,0
3174,67,231,67,40,4,1,0,0,1,169
3796,61,8,60,5,5,2,1,0,1,0
4460,78,22,79,11,5,2,0,0,1,0
2662,79,31,81,7,5,2,0,0,1,0
1915,77,6,75,6,5,5,0,0,1,0
1134,65,13,50,9,2,1,0,0,0,0
2435,82,15,78,10,5,1,0,0,0,0
4456,85,4,81,6,5,1,0,0,1,0
1752,73,30,84,5,5,1,0,0,0,0
1753,73,8,75,4,5,1,0,0,0,0
52,72,31,68,6,5,1,0,0,0,0
51,68,60,54,12,3,2,0,0,0,0
455,76,62,71,6,5,1,0,0,0,0
110,83,102,80,8,5,3,0,0,0,0
4002,70,39,72,9,5,3,1,0,0,0
3373,69,14,59,4,5,5,0,0,1,0
3473,80,28,64,5,5,3,0,0,0,0
4239,75,17,75,5,5,5,1,0,0,0
1748,79,179,83,13,3,4,1,0,0,0
1988,17,3971,20,13,4,4,0,0,0,0
3859,77,9,78,5,5,1,0,0,1,0
2901,75,19,70,15,5,5,0,0,1,0
3287,79,105,79,13,5,2,1,0,0,0
652,54,13,50,6,4,1,0,0,0,0
1043,59,18,62,20,4,1,1,0,0,0
1938,70,4,71,4,3,5,1,0,0,0
1198,78,50,78,24,4,1,0,0,0,0
1272,77,11,55,5,3,2,0,0,0,0
2932,54,20,59,33,4,3,0,0,0,0
3255,74,31,73,10,3,1,0,0,0,0
2944,77,45,75,20,3,3,0,0,0,0
812,70,7,58,9,5,2,0,0,0,0
3588,78,5,56,5,3,5,1,0,0,0
4086,37,7,34,7,4,1,0,0,0,0
2083,78,5,82,5,3,5,0,0,0,0
2444,82,37,77,10,3,3,1,0,0,0
12,84,39,79,30,2,3,0,0,0,0
2167,71,22,70,5,4,2,0,0,0,0
1754,63,10,69,6,3,1,1,0,0,0
2645,62,88,63,19,4,1,0,0,0,0
1001,88,271,81,11,2,3,0,0,0,0
914,64,74,66,15,4,1,0,0,0,0
1174,85,559,75,45,4,2,0,0,1,0
2738,78,161,78,42,5,2,0,0,1,0
861,79,184,69,28,3,1,1,0,0,0
2910,83,14,66,9,1,1,1,0,0,0
2857,84,24,71,29,3,3,0,0,0,0
1696,75,642,63,39,3,4,0,0,0,0
3726,78,81,72,17,4,2,0,0,0,0
174,72,84,28,24,4,2,0,0,0,0
1175,54,45,47,9,4,1,0,0,0,0
2562,74,14,75,7,1,5,0,0,0,0
2317,57,20,40,10,4,2,0,0,0,0
3562,75,78,80,35,4,4,1,0,0,0
3974,70,47,61,18,3,3,0,0,0,0
4309,77,36,69,9,3,5,0,0,0,0
1397,75,120,61,9,4,2,0,0,1,0
3639,60,195,65,17,3,1,0,0,1,0
991,35,14,53,10,3,5,0,0,1,0
4411,66,33,54,12,4,2,1,0,0,0
4312,84,75,88,9,3,5,0,0,0,0
2440,81,144,80,22,4,3,0,0,0,0
2915,34,5,55,6,5,3,1,0,1,0
2146,71,69,80,9,5,1,1,0,0,0
2288,73,26,80,16,5,1,0,0,1,0
4610,80,58,86,12,5,4,0,0,1,0
4469,65,109,75,30,4,1,0,1,0,0
1218,70,72,74,33,3,4,0,1,1,0
3211,51,362,81,39,1,3,0,1,0,0
3777,48,4,44,10,4,2,0,1,0,0
2359,79,55,69,21,4,2,0,1,0,0
946,57,22,52,17,4,1,0,1,0,0
1660,44,14,43,12,2,2,0,1,0,0
1427,83,43,67,22,3,3,0,1,0,0
413,72,9,46,5,3,1,0,1,0,0
1698,89,811,79,20,4,4,0,1,0,0
1833,83,13,78,9,1,3,0,1,0,0
1399,80,26,85,10,3,5,0,1,0,0
1303,66,82,58,21,3,2,0,1,1,0
3854,81,132,79,18,3,5,0,1,0,0
1661,77,139,74,26,3,1,0,1,0,0
988,77,33,69,14,4,2,0,1,0,0
30,70,5,48,6,1,1,1,1,0,0
3157,55,24,61,9,3,5,1,1,0,0
3429,83,218,88,50,1,3,0,1,1,0
4736,55,71,34,14,4,1,1,1,0,0
3855,57,259,72,19,3,5,0,1,0,0
3611,62,704,66,34,3,4,0,1,1,0
3210,24,29,49,8,1,3,0,1,0,0
3830,82,18,58,5,1,1,0,1,0,0
3805,78,19,57,12,4,1,0,1,0,0
2674,81,534,91,34,3,4,1,1,1,0
1341,77,379,88,9,3,4,0,1,0,0
2249,83,7,68,8,4,1,0,1,0,0
2676,85,200,82,25,3,4,0,1,0,0
1074,74,8,74,6,1,5,1,1,0,0
530,74,79,61,21,4,1,0,1,0,0
3252,68,211,71,41,4,1,0,1,0,0
4472,88,619,93,48,4,1,0,1,0,0
68,84,45,82,43,3,3,0,1,0,0
656,62,252,72,40,3,4,0,1,0,0
4724,75,8,62,8,5,3,0,1,0,0
1916,83,19,72,13,3,4,0,1,1,0
1857,46,5,46,5,1,2,1,1,0,0
4429,84,5,67,30,3,3,0,1,0,0
487,74,40,52,10,3,2,0,1,1,0
4499,67,55,61,17,3,4,0,1,1,0
287,51,15,70,4,1,5,0,1,0,0
3213,33,42,71,8,1,3,0,1,0,0
736,58,8,67,28,3,3,0,1,0,0
1217,35,50,49,13,3,1,0,1,0,0
1550,65,21,69,11,3,1,0,1,0,0
4716,79,226,73,16,3,5,0,1,0,0
